TrackID,Predictor
200031_30877,1.0
200031_8244,1.0
200031_130183,0.0
200031_198762,0.0
200031_34503,1.0
200031_227283,1.0
200032_218377,0.0
200032_110262,0.0
200032_18681,1.0
200032_138493,1.0
200032_64167,1.0
200032_22820,0.0
200055_52198,1.0
200055_233815,0.0
200055_175557,0.0
200055_59101,0.0
200055_56695,1.0
200055_134398,1.0
200065_179571,0.0
200065_196286,0.0
200065_26875,1.0
200065_119451,1.0
200065_227397,0.0
200065_243829,1.0
200070_104207,0.0
200070_39252,1.0
200070_271459,0.0
200070_191512,1.0
200070_124239,0.0
200070_219295,1.0
200074_269977,0.0
200074_276467,1.0
200074_210679,0.0
200074_38502,1.0
200074_289311,0.0
200074_142078,0.0
200085_49158,1.0
200085_172871,0.0
200085_134106,0.0
200085_284406,0.0
200085_138809,0.0
200085_32503,1.0
200099_173182,1.0
200099_239473,1.0
200099_276334,0.0
200099_41892,0.0
200099_85375,0.0
200099_159970,1.0
200106_67182,1.0
200106_181408,0.0
200106_67509,1.0
200106_72517,1.0
200106_84948,0.0
200106_152491,0.0
200118_63358,0.0
200118_284107,1.0
200118_77125,1.0
200118_240379,0.0
200118_243335,0.0
200118_153923,0.0
200124_78157,0.0
200124_162126,0.0
200124_284066,0.0
200124_158428,0.0
200124_280405,1.0
200124_112595,1.0
200143_8486,0.0
200143_187136,0.0
200143_216914,1.0
200143_131171,0.0
200143_51859,0.0
200143_273031,1.0
200160_173982,0.0
200160_191762,1.0
200160_111151,0.0
200160_293195,0.0
200160_231680,0.0
200160_103933,1.0
200166_193878,0.0
200166_152465,0.0
200166_282686,0.0
200166_58283,0.0
200166_249972,0.0
200166_49989,0.0
200168_33106,0.0
200168_170773,0.0
200168_40055,0.0
200168_121501,0.0
200168_226576,0.0
200168_75322,0.0
200176_74079,0.0
200176_141029,0.0
200176_216094,0.0
200176_213072,1.0
200176_213238,0.0
200176_135745,0.0
200191_225926,0.0
200191_216514,1.0
200191_129085,1.0
200191_156250,0.0
200191_165227,0.0
200191_41301,1.0
200193_129391,0.0
200193_230030,0.0
200193_154493,1.0
200193_284157,1.0
200193_292109,1.0
200193_238779,1.0
200229_98915,0.0
200229_122251,1.0
200229_205329,0.0
200229_48961,1.0
200229_92035,1.0
200229_151596,0.0
200237_6675,0.0
200237_176102,0.0
200237_16164,1.0
200237_18289,0.0
200237_170773,0.0
200237_242779,1.0
200258_26097,1.0
200258_24997,0.0
200258_191995,0.0
200258_198880,0.0
200258_211753,1.0
200258_76685,1.0
200263_207212,1.0
200263_208284,1.0
200263_132785,0.0
200263_127818,1.0
200263_143401,0.0
200263_88446,0.0
200270_145667,0.0
200270_231225,1.0
200270_147382,1.0
200270_127941,0.0
200270_44963,1.0
200270_139707,0.0
200279_48282,0.0
200279_178208,0.0
200279_58919,0.0
200279_207704,0.0
200279_109024,0.0
200279_72878,0.0
200308_131453,0.0
200308_229683,0.0
200308_236239,1.0
200308_249471,0.0
200308_55997,0.0
200308_171196,1.0
200314_1255,0.0
200314_198197,0.0
200314_214898,0.0
200314_40741,0.0
200314_276467,0.0
200314_12922,0.0
200336_88123,0.0
200336_198117,1.0
200336_177982,0.0
200336_175560,0.0
200336_217721,0.0
200336_170547,0.0
200343_222732,0.0
200343_156907,0.0
200343_9514,1.0
200343_151275,0.0
200343_103269,1.0
200343_171231,1.0
200349_235427,0.0
200349_220478,1.0
200349_98915,1.0
200349_37574,0.0
200349_30877,0.0
200349_256675,0.0
200359_186565,1.0
200359_37605,1.0
200359_204457,0.0
200359_107487,0.0
200359_117315,0.0
200359_11111,1.0
200360_126432,0.0
200360_50631,1.0
200360_76645,0.0
200360_91014,1.0
200360_225510,1.0
200360_44636,0.0
200364_24779,0.0
200364_219422,1.0
200364_261910,1.0
200364_178502,0.0
200364_8676,0.0
200364_72517,1.0
200369_52384,0.0
200369_142289,1.0
200369_270426,0.0
200369_193031,1.0
200369_204003,0.0
200369_112760,1.0
200383_45322,0.0
200383_145554,0.0
200383_282197,0.0
200383_257260,0.0
200383_274169,0.0
200383_45143,0.0
200400_263168,0.0
200400_64675,0.0
200400_99158,1.0
200400_133094,0.0
200400_281571,0.0
200400_231680,0.0
200413_292176,0.0
200413_133594,0.0
200413_291958,1.0
200413_59772,1.0
200413_94007,1.0
200413_139505,0.0
200416_252040,1.0
200416_266225,1.0
200416_109787,1.0
200416_77677,0.0
200416_149254,0.0
200416_32664,0.0
200419_124070,0.0
200419_128565,1.0
200419_115358,1.0
200419_143033,0.0
200419_34290,0.0
200419_101875,0.0
200442_244283,1.0
200442_171490,0.0
200442_106204,0.0
200442_70446,1.0
200442_235014,0.0
200442_253306,1.0
200457_73557,0.0
200457_114620,0.0
